,id,name,cd_wd_id,cd_name
0,00023638949ec143e690ae151d28e389574f07dc,Philip Wohlgemuth,Q51533040,Philip Wohlgemuth
1,001d48bf2913572202d88f00e35262f490771b40,Waltraud Ungersböck,Q81526090,Waltraud Ungersböck
2,00ad3c5b5a651f6e00080803ffefb1d306c6d027,Armin Forstner,Q20752545,Armin Forstner
3,00def69ad3d13efe8151da80f1485a692954d183,Silvia Janoch,Q102353097,Silvia Janoch
4,00e70efc17aff680e675349ca87d7b80be04c452,Elvira Schmidt,Q50843964,Elvira Schmidt
5,00e70efc17aff680e675349ca87d7b80be04c452,Elvira Schmidt,Q87916937,Elvira Schmidt
6,02266a3e18996732442d2d07c6a99eaf94dad797,Ulrich Herzog,Q85842547,Ulrich Herzog
7,02266a3e18996732442d2d07c6a99eaf94dad797,Ulrich Herzog,Q95300135,Ulrich Herzog
8,02266a3e18996732442d2d07c6a99eaf94dad797,Ulrich Herzog,Q1452356,Fred Herzog
9,02266a3e18996732442d2d07c6a99eaf94dad797,Ulrich Herzog,Q102373185,Ulrich Herzog
10,026bbea86133cdbd5e7b271b9df2d23c2944e8aa,Jörg Konrad,Q102353101,Jörg Konrad
11,026bbea86133cdbd5e7b271b9df2d23c2944e8aa,Jörg Konrad,Q99473,Jörg K. Hoensch
12,02f6859c0b6da2e0a2c8c70154a00ba168ca9c6f,Jürgen Czernohorszky,Q1703382,Jürgen Czernohorszky
13,034bf9079555c4722e42de16b6b0c9dc3bef12ca,Aygül Berîvan Aslan,Q15792244,Aygül Berivan Aslan
14,04030ab52bbb23ce41ae2d78e5015355c4095f65,Anton Kasser,Q1384694,Anton Kasser
15,0447dd6519297a88ee7ccf0782cc9c6d40653a6f,Hannes Schernthaner,Q54962932,Hannes Schernthaner
16,044b022a431c4623ff6fbcff3b779c34cf6cedcf,Walter Temmel,Q1802317,Walter Temmel
17,0481dce38b1207403942d8bdfe7c21fea65c422b,Sigrid Maurer,Q1618939,Sigrid Maurer
18,04bc5e61d1eb7d4f40fde69ded3a34bbfa97ccbf,Elisabeth Olischar,Q25991721,Elisabeth Olischar
19,04ddbc1a90bfd4cf76474629924c11f248a24623,Stefanie Vasold,Q102353119,Stefanie Vasold
20,04f63fe523a45d3a3f38d7d6e5f27f4e63996223,Heidemarie Sequenz,Q102353116,Heidemarie Sequenz
21,051a32fb1a56c03b8962f32b6df183e503d72c9f,Hermann Jantschgi,Q15815344,Hermann Jantschgi
22,05f306ebe8d37ce924b72b1520cff592093907c4,Cornelia Ecker,Q15616501,Cornelia Ecker
23,05f306ebe8d37ce924b72b1520cff592093907c4,Cornelia Ecker,Q91325054,Cornelia Eckert
24,05f306ebe8d37ce924b72b1520cff592093907c4,Cornelia Ecker,Q65188986,Cornelia Eckert
25,062af684cac1366350a6abba1199e5b91a4f660d,Alma Zadić,Q42162193,Alma Zadić
26,0654e9b3db8c36c9a38d7b02ad38a9fbe700449f,Sonja Hammerschmid,Q2301630,Sonja Hammerschmid
27,069c27c95d9dfdf90bbd5ffe72570a15f99b35b5,Peter Florianschütz,Q2074909,Peter Florianschütz
28,06fc48c8b937a9074259a021af2163e7dcd29fb6,Isabelle Jungnickel,Q101989819,Isabelle Jungnickel
29,07728d6f86b3d89f6f8a0f5317957bc00ac55ee6,Elmar Rizzoli,Q105958425,Elmar Rizzoli
30,078fcd9e8bac5b802159167ab2d6bb51bdf2cc8c,Michael Schnedlitz,Q51000135,Michael Schnedlitz
31,079f985b4d42a1f0c710b529f5d237007f1ee569,Axel Kassegger,Q15784856,Axel Kassegger
32,07b473d6a0a755a605a03bb913ff4417eaae558d,Christian Buchmann,Q88360,Christian Buchmann
33,07d93547e9d6601739b3da50fccead5348b23a7b,Roland Fürst,Q84091688,Roland Fürst
34,07d93547e9d6601739b3da50fccead5348b23a7b,Roland Fürst,Q2162738,Roland Fürst
35,07d93547e9d6601739b3da50fccead5348b23a7b,Roland Fürst,Q84731882,Roland Fürst
36,07ec13b200e35f2ab851c3853b897102d745d90a,Josef Muchitsch,Q1705321,Josef Muchitsch
37,083a7b36ee7c06627eab4fee2da31b929fb25cee,Gerald Handig,Q84091517,Gerald Handig
38,090efc9176e31d19b076775cf9af48593e6b731c,Gerald Hauser,Q1509909,Gerald Hauser
39,0933bbf457a34dc90b2df70add76e677da567292,Gerhard Klocker,Q52053635,Gerhard Klocker
40,0933bbf457a34dc90b2df70add76e677da567292,Gerhard Klocker,Q95321031,Gerhard Klocker
41,0a42b374e13dd7f11cad39472e91955e47d2a431,Caroline Hungerländer,Q43482850,Caroline Hungerländer
42,0a46a1d884f3f9a9ffb2933ff154ba03767eb3ca,Selma Arapović,Q102352893,Selma Arapović
43,0a4ddb6679c09e9f6987ba26800dfa2bfd23bed5,Cornelia Schweiner,Q20748271,Cornelia Schweiner
